,source,target,ligand,receptor,cpm_threshold,species
50857,ESF1,LE1,KDR,VEGFA,False,Monodelphis_domestica
50858,ESF1,LE1,KITLG,EPOR,False,Monodelphis_domestica
50859,ESF1,LE1,KITLG,KIT,False,Monodelphis_domestica
51081,ESF1,LE1,LDHA,HCAR1,False,Monodelphis_domestica
50860,ESF1,LE1,LEAP2,GHSR,False,Monodelphis_domestica
50861,ESF1,LE1,LEP,LEPR,False,Monodelphis_domestica
50862,ESF1,LE1,LIF,LIFR,False,Monodelphis_domestica
50863,ESF1,LE1,LTA,LTBR,False,Monodelphis_domestica
50864,ESF1,LE1,LTA,RIPK1,False,Monodelphis_domestica
50865,ESF1,LE1,LTA,TNFRSF1A,False,Monodelphis_domestica
51082,ESF1,LE1,LTA4H,LTB4R,False,Monodelphis_domestica
50661,ESF1,LE1,LTB,LTBR,False,Monodelphis_domestica
50866,ESF1,LE1,MIF,ACKR3,False,Monodelphis_domestica
50867,ESF1,LE1,MIF,CD74,True,Monodelphis_domestica
50868,ESF1,LE1,MIF,CXCR4,False,Monodelphis_domestica
50869,ESF1,LE1,MIF,EGFR,True,Monodelphis_domestica
50870,ESF1,LE1,MLN,MLNR,False,Monodelphis_domestica
51134,ESF1,LE1,MMP13,F2R,False,Monodelphis_domestica
50871,ESF1,LE1,MST1,MST1R,False,Monodelphis_domestica
50872,ESF1,LE1,MSTN,ACVR2A,False,Monodelphis_domestica
50873,ESF1,LE1,MSTN,ACVR2B,False,Monodelphis_domestica
50874,ESF1,LE1,MSTN,TGFBR1,False,Monodelphis_domestica
50875,ESF1,LE1,NGF,NGFR,False,Monodelphis_domestica
50876,ESF1,LE1,NGF,NTRK1,False,Monodelphis_domestica
50877,ESF1,LE1,NMB,NMBR,False,Monodelphis_domestica
50878,ESF1,LE1,NMS,NMUR1,False,Monodelphis_domestica
50879,ESF1,LE1,NMS,NMUR2,False,Monodelphis_domestica
50880,ESF1,LE1,NMU,NMUR1,False,Monodelphis_domestica
50881,ESF1,LE1,NMU,NMUR2,False,Monodelphis_domestica
50882,ESF1,LE1,NODAL,ACVR2A,False,Monodelphis_domestica
50883,ESF1,LE1,NODAL,ACVR2B,False,Monodelphis_domestica
50884,ESF1,LE1,NPB,NPBWR1,False,Monodelphis_domestica
50885,ESF1,LE1,NPB,NPBWR2,False,Monodelphis_domestica
50886,ESF1,LE1,NPPA,NPR2,False,Monodelphis_domestica
50887,ESF1,LE1,NPPA,NPR3,False,Monodelphis_domestica
50888,ESF1,LE1,NPPC,NPR2,False,Monodelphis_domestica
50889,ESF1,LE1,NPPC,NPR3,False,Monodelphis_domestica
50890,ESF1,LE1,NPS,NPSR1,False,Monodelphis_domestica
50891,ESF1,LE1,NPVF,NPFFR1,False,Monodelphis_domestica
50892,ESF1,LE1,NPVF,NPFFR2,False,Monodelphis_domestica
50893,ESF1,LE1,NPY,NPY1R,False,Monodelphis_domestica
50894,ESF1,LE1,NPY,NPY2R,False,Monodelphis_domestica
50895,ESF1,LE1,NPY,NPY5R,False,Monodelphis_domestica
50896,ESF1,LE1,NRG2,ERBB3,False,Monodelphis_domestica
50897,ESF1,LE1,NRG2,ERBB4,False,Monodelphis_domestica
50898,ESF1,LE1,NRG3,ERBB4,False,Monodelphis_domestica
50899,ESF1,LE1,NRG4,ERBB4,False,Monodelphis_domestica
50900,ESF1,LE1,NRTN,RET,False,Monodelphis_domestica
50901,ESF1,LE1,NTF3,NGFR,False,Monodelphis_domestica
50902,ESF1,LE1,NTF3,NTRK1,False,Monodelphis_domestica
50903,ESF1,LE1,NTF3,NTRK2,False,Monodelphis_domestica
50904,ESF1,LE1,NTF3,NTRK3,False,Monodelphis_domestica
50905,ESF1,LE1,NTF4,NGFR,False,Monodelphis_domestica
50906,ESF1,LE1,NTF4,NTRK2,False,Monodelphis_domestica
50907,ESF1,LE1,NTS,NTSR1,False,Monodelphis_domestica
50908,ESF1,LE1,OSTN,NPR3,False,Monodelphis_domestica
50909,ESF1,LE1,PDCD1LG2,PDCD1,False,Monodelphis_domestica
50910,ESF1,LE1,PDGFA,PDGFRB,False,Monodelphis_domestica
50911,ESF1,LE1,PDGFB,PDGFRB,False,Monodelphis_domestica
50912,ESF1,LE1,PDGFC,FLT4,False,Monodelphis_domestica
50913,ESF1,LE1,PDGFD,PDGFRB,False,Monodelphis_domestica
50914,ESF1,LE1,PDYN,OPRD1,False,Monodelphis_domestica
50915,ESF1,LE1,PDYN,OPRK1,False,Monodelphis_domestica
50916,ESF1,LE1,PDYN,OPRM1,False,Monodelphis_domestica
50917,ESF1,LE1,PENK,OPRD1,False,Monodelphis_domestica
50918,ESF1,LE1,PENK,OPRK1,False,Monodelphis_domestica
50919,ESF1,LE1,PENK,OPRL1,False,Monodelphis_domestica
50920,ESF1,LE1,PENK,OPRM1,False,Monodelphis_domestica
50921,ESF1,LE1,PGF,FLT1,False,Monodelphis_domestica
50922,ESF1,LE1,PMCH,MCHR1,False,Monodelphis_domestica
50923,ESF1,LE1,PMCH,MCHR2,False,Monodelphis_domestica
50924,ESF1,LE1,PMCH,MERTK,False,Monodelphis_domestica
51083,ESF1,LE1,PNMT,ADRA1A,False,Monodelphis_domestica
51084,ESF1,LE1,PNMT,ADRA1B,False,Monodelphis_domestica
51085,ESF1,LE1,PNMT,ADRA1D,False,Monodelphis_domestica
51086,ESF1,LE1,PNMT,ADRA2A,False,Monodelphis_domestica
51087,ESF1,LE1,PNMT,ADRA2B,False,Monodelphis_domestica
51088,ESF1,LE1,PNMT,ADRA2C,False,Monodelphis_domestica
51089,ESF1,LE1,PNMT,ADRB1,False,Monodelphis_domestica
51090,ESF1,LE1,PNMT,ADRB2,False,Monodelphis_domestica
50925,ESF1,LE1,POMC,MC1R,False,Monodelphis_domestica
50926,ESF1,LE1,POMC,MC2R,False,Monodelphis_domestica
50927,ESF1,LE1,POMC,MC3R,False,Monodelphis_domestica
50928,ESF1,LE1,POMC,MC4R,False,Monodelphis_domestica
50929,ESF1,LE1,POMC,MC5R,False,Monodelphis_domestica
50930,ESF1,LE1,POMC,OPRD1,False,Monodelphis_domestica
50931,ESF1,LE1,POMC,OPRK1,False,Monodelphis_domestica
50932,ESF1,LE1,POMC,OPRM1,False,Monodelphis_domestica
50933,ESF1,LE1,PRL,PRLR,False,Monodelphis_domestica
51091,ESF1,LE1,PTDSS1,ADGRB1,False,Monodelphis_domestica
51092,ESF1,LE1,PTGES,PTGDR2,False,Monodelphis_domestica
51093,ESF1,LE1,PTGES,PTGER1,False,Monodelphis_domestica
51094,ESF1,LE1,PTGES,PTGER2,False,Monodelphis_domestica
51095,ESF1,LE1,PTGES,PTGER4,False,Monodelphis_domestica
51096,ESF1,LE1,PTGES,PTGIR,False,Monodelphis_domestica
51097,ESF1,LE1,PTGES,TBXA2R,False,Monodelphis_domestica
51098,ESF1,LE1,PTGES2,PTGDR2,False,Monodelphis_domestica
51099,ESF1,LE1,PTGES2,PTGER1,False,Monodelphis_domestica
51100,ESF1,LE1,PTGES2,PTGER2,False,Monodelphis_domestica
51101,ESF1,LE1,PTGES2,PTGER4,False,Monodelphis_domestica
51102,ESF1,LE1,PTGES2,PTGIR,False,Monodelphis_domestica
51103,ESF1,LE1,PTGES3,PTGDR2,False,Monodelphis_domestica
51104,ESF1,LE1,PTGES3,PTGER1,False,Monodelphis_domestica
51105,ESF1,LE1,PTGES3,PTGER2,False,Monodelphis_domestica
51106,ESF1,LE1,PTGES3,PTGER4,True,Monodelphis_domestica
51107,ESF1,LE1,PTGES3,PTGIR,False,Monodelphis_domestica
51108,ESF1,LE1,PTGIS,PTGDR2,False,Monodelphis_domestica
51109,ESF1,LE1,PTGIS,PTGER1,False,Monodelphis_domestica
51110,ESF1,LE1,PTGIS,PTGER2,False,Monodelphis_domestica
51111,ESF1,LE1,PTGIS,PTGER4,False,Monodelphis_domestica
51112,ESF1,LE1,PTGIS,PTGIR,False,Monodelphis_domestica
51113,ESF1,LE1,PTGIS,TBXA2R,False,Monodelphis_domestica
51114,ESF1,LE1,PTGS2,PTGER2,False,Monodelphis_domestica
51115,ESF1,LE1,PTGS2,PTGER4,False,Monodelphis_domestica
51116,ESF1,LE1,PTGS2,PTGIR,False,Monodelphis_domestica
51117,ESF1,LE1,PTGS2,TBXA2R,False,Monodelphis_domestica
50934,ESF1,LE1,PTH,PTH1R,False,Monodelphis_domestica
50935,ESF1,LE1,PTH,PTH2R,False,Monodelphis_domestica
50936,ESF1,LE1,PTHLH,PTH1R,False,Monodelphis_domestica
50937,ESF1,LE1,PTHLH,PTH2R,False,Monodelphis_domestica
50938,ESF1,LE1,PYY,DPP4,False,Monodelphis_domestica
50939,ESF1,LE1,PYY,NPY1R,False,Monodelphis_domestica
50940,ESF1,LE1,PYY,NPY2R,False,Monodelphis_domestica
50941,ESF1,LE1,PYY,NPY5R,False,Monodelphis_domestica
50942,ESF1,LE1,QRFP,QRFPR,False,Monodelphis_domestica
50943,ESF1,LE1,RETN,CAP1,False,Monodelphis_domestica
50944,ESF1,LE1,RETN,TLR4,False,Monodelphis_domestica
50945,ESF1,LE1,RLN3,RXFP1,False,Monodelphis_domestica
50946,ESF1,LE1,RLN3,RXFP2,False,Monodelphis_domestica
50947,ESF1,LE1,RLN3,RXFP3,False,Monodelphis_domestica
50948,ESF1,LE1,RLN3,RXFP4,False,Monodelphis_domestica
50949,ESF1,LE1,SCGB3A1,MARCO,False,Monodelphis_domestica
50950,ESF1,LE1,SCGB3A1,NOTCH3,False,Monodelphis_domestica
50951,ESF1,LE1,SCGB3A2,MARCO,False,Monodelphis_domestica
50952,ESF1,LE1,SEMA3A,PLXNA1,False,Monodelphis_domestica
50953,ESF1,LE1,SEMA3A,PLXNA2,False,Monodelphis_domestica
50954,ESF1,LE1,SEMA3B,PLXNA1,False,Monodelphis_domestica
50955,ESF1,LE1,SEMA3B,PLXNA2,False,Monodelphis_domestica
50956,ESF1,LE1,SEMA3C,NRP2,False,Monodelphis_domestica
50958,ESF1,LE1,SEMA3C,PLXNA1,False,Monodelphis_domestica
50959,ESF1,LE1,SEMA3C,PLXNA2,False,Monodelphis_domestica
50957,ESF1,LE1,SEMA3C,PLXND1,False,Monodelphis_domestica
50960,ESF1,LE1,SEMA3D,PLXNA1,False,Monodelphis_domestica
50961,ESF1,LE1,SEMA3D,PLXNA2,False,Monodelphis_domestica
50962,ESF1,LE1,SEMA3E,PLXND1,False,Monodelphis_domestica
50963,ESF1,LE1,SEMA3F,PLXNA1,False,Monodelphis_domestica
50964,ESF1,LE1,SEMA3F,PLXNA2,False,Monodelphis_domestica
50965,ESF1,LE1,SEMA3G,PLXNA1,False,Monodelphis_domestica
50966,ESF1,LE1,SEMA3G,PLXNA2,False,Monodelphis_domestica
